Name,Position,Age,Nationality,Current club,Season,MarketValueEuro,PrimaryNationality
Asier Villalibre,Centre-Forward,25,Spain,Athletic Club,2022,2500000.0,Spain
Gorka Guruzeta,Centre-Forward,26,Spain,Athletic Club,2022,2000000.0,Spain
Unai Simón,Goalkeeper,27,Spain,Athletic Club,2023,30000000.0,Spain
Julen Agirrezabala,Goalkeeper,23,Spain,Athletic Club,2023,5000000.0,Spain
Álex Padilla,Goalkeeper,20,Mexico,Athletic Club,2023,200000.0,Mexico
Dani Vivian,Centre-Back,24,Spain,Athletic Club,2023,25000000.0,Spain
Aitor Paredes,Centre-Back,24,Spain,Athletic Club,2023,22000000.0,Spain
Yeray Álvarez,Centre-Back,29,Spain,Athletic Club,2023,8000000.0,Spain
Unai Egiluz,Centre-Back,22,Spain,Athletic Club,2023,100000.0,Spain
Yuri Berchiche,Left-Back,34,Spain,Athletic Club,2023,1800000.0,Spain
Imanol García de Albéniz,Left-Back,24,Spain,Athletic Club,2023,1200000.0,Spain
Iñigo Lekue,Right-Back,31,Spain,Athletic Club,2023,3000000.0,Spain
Óscar de Marcos,Right-Back,35,Spain,Athletic Club,2023,1500000.0,Spain
Hugo Rincón,Right-Back,21,Spain,Athletic Club,2023,250000.0,Spain
Mikel Vesga,Defensive Midfield,31,Spain,Athletic Club,2023,4000000.0,Spain
Peru Nolaskoain,Defensive Midfield,25,Spain,Athletic Club,2023,1000000.0,Spain
Beñat Prados,Central Midfield,23,Spain,Athletic Club,2023,15000000.0,Spain
Iñigo Ruiz de Galarreta,Central Midfield,30,Spain,Athletic Club,2023,5000000.0,Spain
Ander Herrera,Central Midfield,34,Spain,Athletic Club,2023,2000000.0,Spain
Dani García,Central Midfield,34,Spain,Athletic Club,2023,1800000.0,Spain
Mikel Jauregizar,Central Midfield,20,Spain,Athletic Club,2023,800000.0,Spain
Oihan Sancet,Attacking Midfield,24,Spain,Athletic Club,2023,35000000.0,Spain
Unai Gómez,Attacking Midfield,21,Spain,Athletic Club,2023,6000000.0,Spain
Iker Muniain,Attacking Midfield,31,Spain,Athletic Club,2023,5000000.0,Spain
Raúl García,Attacking Midfield,37,Spain,Athletic Club,2023,1500000.0,Spain
Nico Williams,Left Winger,21,Spain,Athletic Club,2023,60000000.0,Spain
Álex Berenguer,Left Winger,28,Spain,Athletic Club,2023,12000000.0,Spain
Iñaki Williams,Right Winger,30,Ghana,Athletic Club,2023,25000000.0,Ghana
Adu Ares,Right Winger,22,Spain,Athletic Club,2023,2000000.0,Spain
Aingeru Olabarrieta,Right Winger,18,Spain,Athletic Club,2023,500000.0,Spain
Gorka Guruzeta,Centre-Forward,27,Spain,Athletic Club,2023,18000000.0,Spain
Asier Villalibre,Centre-Forward,26,Spain,Athletic Club,2023,2500000.0,Spain
Javi Martón,Centre-Forward,25,Spain,Athletic Club,2023,500000.0,Spain
Unai Simón,Goalkeeper,28,Spain,Athletic Club,2024,28000000.0,Spain
Julen Agirrezabala,Goalkeeper,24,Spain,Athletic Club,2024,15000000.0,Spain
Álex Padilla,Goalkeeper,21,Mexico,Athletic Club,2024,3000000.0,Mexico
Dani Vivian,Centre-Back,25,Spain,Athletic Club,2024,40000000.0,Spain
Aitor Paredes,Centre-Back,25,Spain,Athletic Club,2024,22000000.0,Spain
Yeray Álvarez,Centre-Back,30,Spain,Athletic Club,2024,7000000.0,Spain
Unai Egiluz,Centre-Back,23,Spain,Athletic Club,2024,600000.0,Spain
Adama Boiro,Left-Back,23,Spain,Athletic Club,2024,2500000.0,Spain
Yuri Berchiche,Left-Back,35,Spain,Athletic Club,2024,1400000.0,Spain
Andoni Gorosabel,Right-Back,28,Spain,Athletic Club,2024,5000000.0,Spain
Hugo Rincón,Right-Back,22,Spain,Athletic Club,2024,2000000.0,Spain
Iñigo Lekue,Right-Back,32,Spain,Athletic Club,2024,2000000.0,Spain
Óscar de Marcos,Right-Back,36,Spain,Athletic Club,2024,1500000.0,Spain
Mikel Vesga,Defensive Midfield,32,Spain,Athletic Club,2024,2500000.0,Spain
Mikel Jauregizar,Central Midfield,21,Spain,Athletic Club,2024,30000000.0,Spain
Beñat Prados,Central Midfield,24,Spain,Athletic Club,2024,18000000.0,Spain
Iñigo Ruiz de Galarreta,Central Midfield,31,Spain,Athletic Club,2024,3000000.0,Spain
Unai Vencedor,Central Midfield,24,Spain,Athletic Club,2024,2200000.0,Spain
Oihan Sancet,Attacking Midfield,25,Spain,Athletic Club,2024,60000000.0,Spain
Unai Gómez,Attacking Midfield,22,Spain,Athletic Club,2024,6000000.0,Spain
Peio Canales,Attacking Midfield,20,Spain,Athletic Club,2024,1000000.0,Spain
Nico Williams,Left Winger,22,Spain,Athletic Club,2024,70000000.0,Spain
Álex Berenguer,Left Winger,29,Spain,Athletic Club,2024,9000000.0,Spain
Álvaro Djaló,Left Winger,25,Spain,Athletic Club,2024,5000000.0,Spain
Nico Serrano,Left Winger,22,Spain,Athletic Club,2024,1200000.0,Spain
Iñaki Williams,Right Winger,31,Ghana,Athletic Club,2024,15000000.0,Ghana
Adu Ares,Right Winger,23,Spain,Athletic Club,2024,1600000.0,Spain
Maroan Sannadi,Centre-Forward,24,Morocco,Athletic Club,2024,10000000.0,Morocco
Gorka Guruzeta,Centre-Forward,28,Spain,Athletic Club,2024,9000000.0,Spain
Urko Izeta,Centre-Forward,25,Spain,Athletic Club,2024,2000000.0,Spain
Javi Martón,Centre-Forward,26,Spain,Athletic Club,2024,500000.0,Spain
