Player,Age,Current club,Market value,Nat.,Season,Contract
"['Rodrygo', 'Right Winger']",22,Real Madrid CF,€100.00m,Brazil,2022,"Jul 1, 2019"
"['Karim Benzema', 'Centre-Forward']",35,Real Madrid CF,€25.00m,France,2022,"Jul 9, 2009"
"['Álvaro Rodríguez', 'Centre-Forward']",18,Real Madrid CF,€6.00m,Uruguay,2022,"Jul 1, 2024"
"['Mariano Díaz', 'Centre-Forward']",29,Real Madrid CF,€2.50m,Dominican Republic,2022,"Aug 29, 2018"
"['Thibaut Courtois', 'Goalkeeper']",32,Real Madrid CF,€28.00m,Belgium,2023,"Aug 9, 2018"
"['Andriy Lunin', 'Goalkeeper']",25,Real Madrid CF,€25.00m,Ukraine,2023,"Jul 1, 2018"
"['Kepa Arrizabalaga', 'Goalkeeper']",29,Real Madrid CF,€12.00m,Spain,2023,"Aug 14, 2023"
"['Lucas Cañizares', 'Goalkeeper']",22,Real Madrid CF,€400k,Spain,2023,
"['Mario de Luis', 'Goalkeeper']",22,Real Madrid CF,€400k,Spain,2023,
"['Diego Piñeiro', 'Goalkeeper']",20,Real Madrid CF,€50k,Spain,2023,
"['Fran González', 'Goalkeeper']",19,Real Madrid CF,€0,Spain,2023,
"['Éder Militão', 'Centre-Back']",26,Real Madrid CF,€60.00m,Brazil,2023,"Jul 1, 2019"
"['Antonio Rüdiger', 'Centre-Back']",31,Real Madrid CF,€25.00m,Germany,2023,"Jul 1, 2022"
"['David Alaba', 'Centre-Back']",32,Real Madrid CF,€20.00m,Austria,2023,"Jul 1, 2021"
"['Nacho Fernández', 'Centre-Back']",34,Real Madrid CF,€3.00m,Spain,2023,"Sep 1, 2012"
"['Álvaro Carrillo', 'Centre-Back']",22,Real Madrid CF,€300k,Spain,2023,
"['Edgar Pujol', 'Centre-Back']",19,Real Madrid CF,€250k,Dominican Republic,2023,
"['Jacobo Ramón', 'Centre-Back']",19,Real Madrid CF,€100k,Spain,2023,
"['Ferland Mendy', 'Left-Back']",29,Real Madrid CF,€22.00m,France,2023,"Jul 1, 2019"
"['Fran García', 'Left-Back']",24,Real Madrid CF,€15.00m,Spain,2023,"Jul 1, 2023"
"['Daniel Carvajal', 'Right-Back']",32,Real Madrid CF,€12.00m,Spain,2023,"Jul 1, 2013"
"['Lucas Vázquez', 'Right-Back']",32,Real Madrid CF,€4.00m,Spain,2023,"Jul 2, 2015"
"['Vinícius Tobias', 'Right-Back']",20,Real Madrid CF,€3.00m,Brazil,2023,
"['Álvaro Odriozola', 'Right-Back']",28,Real Madrid CF,€2.50m,Spain,2023,"Jul 5, 2018"
"['Aurélien Tchouaméni', 'Defensive Midfield']",24,Real Madrid CF,€100.00m,France,2023,"Jul 1, 2022"
"['Mario Martín', 'Defensive Midfield']",20,Real Madrid CF,€300k,Spain,2023,"Jun 1, 2025"
"['Federico Valverde', 'Central Midfield']",25,Real Madrid CF,€120.00m,Uruguay,2023,"Jul 1, 2018"
"['Eduardo Camavinga', 'Central Midfield']",21,Real Madrid CF,€100.00m,France,2023,"Aug 31, 2021"
"['Toni Kroos', 'Central Midfield']",34,Real Madrid CF,€10.00m,Germany,2023,"Jul 17, 2014"
"['Luka Modrić', 'Central Midfield']",38,Real Madrid CF,€6.00m,Croatia,2023,"Aug 27, 2012"
"['Dani Ceballos', 'Central Midfield']",27,Real Madrid CF,€6.00m,Spain,2023,"Jul 14, 2017"
"['Théo Zidane', 'Central Midfield']",22,Real Madrid CF,€300k,France,2023,
"['Jude Bellingham', 'Attacking Midfield']",21,Real Madrid CF,€180.00m,England,2023,"Jul 1, 2023"
"['Nico Paz', 'Attacking Midfield']",19,Real Madrid CF,€10.00m,Argentina,2023,
"['Vinicius Junior', 'Left Winger']",23,Real Madrid CF,€180.00m,Brazil,2023,"Jul 12, 2018"
"['Rodrygo', 'Right Winger']",23,Real Madrid CF,€110.00m,Brazil,2023,"Jul 1, 2019"
"['Brahim Díaz', 'Right Winger']",24,Real Madrid CF,€40.00m,Morocco,2023,"Jan 6, 2019"
"['Arda Güler', 'Right Winger']",19,Real Madrid CF,€30.00m,Türkiye,2023,"Jul 6, 2023"
"['Kylian Mbappé', 'Centre-Forward']",25,Real Madrid CF,€180.00m,France,2023,"Jul 1, 2024"
"['Joselu', 'Centre-Forward']",34,Real Madrid CF,€5.00m,Spain,2023,"Jul 1, 2024"
"['Álvaro Rodríguez', 'Centre-Forward']",19,Real Madrid CF,€3.50m,Uruguay,2023,"Jul 1, 2024"
"['Gonzalo García', 'Centre-Forward']",20,Real Madrid CF,€1.00m,Spain,2023,
"['Thibaut Courtois', 'Goalkeeper']",33,Real Madrid CF,€20.00m,Belgium,2024,"Jun 30, 2026"
"['Andriy Lunin', 'Goalkeeper']",26,Real Madrid CF,€18.00m,Ukraine,2024,"Jun 30, 2030"
"['Fran González', 'Goalkeeper']",20,Real Madrid CF,€400k,Spain,2024,"Jun 30, 2026"
