Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1
Arthur Vermeeren,be BEL,MF,18.0,5,2,162.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.1,2.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04
Çağlar Söyüncü,tr TUR,DF,27.0,6,1,114.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Javi Galán,es ESP,DF,28.0,5,0,88.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,3.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06
Salim El Jebari,ma MAR,MF,19.0,1,0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdellah Raihani,ma MAR,FW,19.0,1,0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rayane Belaid,es ESP,DF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
João Félix,pt POR,"FW,MF",23.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aitor Gismera,es ESP,MF,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antonio Gomis,es ESP,GK,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivo Grbić,hr CRO,GK,27.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilias Kostis,gr GRE,DF,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sergio Mestre,es ESP,GK,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horaţiu Moldovan,ro ROU,GK,25.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marco Moreno,es ESP,DF,22.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adrian Niño,es ESP,FW,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squad Total,,,29.2,38,418,3420.0,38.0,68.0,48.0,116.0,63.0,5.0,6.0,89.0,5.0,62.4,57.9,47.4,105.2,758.0,1597.0,1580.0,1.79,1.26,3.05,1.66,2.92,1.64,1.25,2.89,1.52,2.77
Opponent Total,,,26.9,38,418,3420.0,38.0,43.0,33.0,76.0,42.0,1.0,2.0,79.0,2.0,39.5,37.9,29.7,67.6,648.0,1544.0,1533.0,1.13,0.87,2.0,1.11,1.97,1.04,0.78,1.82,1.0,1.78
