Name,Position,Age,Nationality,Current club,Season,MarketValueEuro,PrimaryNationality
Mikel Oyarzabal,Centre-Forward,25,Spain,Real Sociedad,2021,60000000.0,Spain
Alexander Isak,Centre-Forward,22,Sweden,Real Sociedad,2021,30000000.0,Sweden
Alexander Sørloth,Centre-Forward,26,Norway,Real Sociedad,2021,10000000.0,Norway
Carlos Fernández,Centre-Forward,26,Spain,Real Sociedad,2021,5000000.0,Spain
Jon Karrikaburu,Centre-Forward,19,Spain,Real Sociedad,2021,5000000.0,Spain
Jon Bautista,Centre-Forward,26,Spain,Real Sociedad,2021,1000000.0,Spain
Álex Remiro,Goalkeeper,28,Spain,Real Sociedad,2022,25000000.0,Spain
Andoni Zubiaurre,Goalkeeper,26,Spain,Real Sociedad,2022,300000.0,Spain
Unai Marrero,Goalkeeper,21,Spain,Real Sociedad,2022,250000.0,Spain
Egoitz Arana,Goalkeeper,21,Spain,Real Sociedad,2022,50000.0,Spain
Robin Le Normand,Centre-Back,26,Spain,Real Sociedad,2022,35000000.0,Spain
Igor Zubeldia,Centre-Back,26,Spain,Real Sociedad,2022,15000000.0,Spain
Aritz Elustondo,Centre-Back,29,Spain,Real Sociedad,2022,14000000.0,Spain
Jon Pacheco,Centre-Back,22,Spain,Real Sociedad,2022,6000000.0,Spain
Aritz Arambarri,Centre-Back,25,Spain,Real Sociedad,2022,500000.0,Spain
Aihen Muñoz,Left-Back,25,Spain,Real Sociedad,2022,6000000.0,Spain
Diego Rico,Left-Back,30,Spain,Real Sociedad,2022,3000000.0,Spain
Jonathan Gómez,Left-Back,19,United States,Real Sociedad,2022,500000.0,United States
Andoni Gorosabel,Right-Back,26,Spain,Real Sociedad,2022,9000000.0,Spain
Martín Zubimendi,Defensive Midfield,24,Spain,Real Sociedad,2022,40000000.0,Spain
Asier Illarramendi,Defensive Midfield,33,Spain,Real Sociedad,2022,2000000.0,Spain
Urko González de Zárate,Defensive Midfield,22,Spain,Real Sociedad,2022,700000.0,Spain
Mikel Merino,Central Midfield,27,Spain,Real Sociedad,2022,50000000.0,Spain
Ander Guevara,Central Midfield,25,Spain,Real Sociedad,2022,2500000.0,Spain
Beñat Turrientes,Central Midfield,21,Spain,Real Sociedad,2022,2000000.0,Spain
Jon Ander Olasagasti,Central Midfield,22,Spain,Real Sociedad,2022,1000000.0,Spain
Brais Méndez,Attacking Midfield,26,Spain,Real Sociedad,2022,25000000.0,Spain
David Silva,Attacking Midfield,37,Spain,Real Sociedad,2022,4000000.0,Spain
Pablo Marín,Attacking Midfield,19,Spain,Real Sociedad,2022,1000000.0,Spain
Jon Magunazelaia,Attacking Midfield,21,Spain,Real Sociedad,2022,700000.0,Spain
Ander Barrenetxea,Left Winger,21,Spain,Real Sociedad,2022,6000000.0,Spain
Martín Merquelanz,Left Winger,28,Spain,Real Sociedad,2022,800000.0,Spain
Takefusa Kubo,Right Winger,22,Japan,Real Sociedad,2022,25000000.0,Japan
Mohamed-Ali Cho,Right Winger,19,France,Real Sociedad,2022,12000000.0,France
Álex Sola,Right Winger,24,Spain,Real Sociedad,2022,3000000.0,Spain
Robert Navarro,Right Winger,21,Spain,Real Sociedad,2022,3000000.0,Spain
Ander Martín,Right Winger,22,Spain,Real Sociedad,2022,400000.0,Spain
Alexander Isak,Centre-Forward,23,Sweden,Real Sociedad,2022,70000000.0,Sweden
Mikel Oyarzabal,Centre-Forward,26,Spain,Real Sociedad,2022,40000000.0,Spain
Umar Sadiq,Centre-Forward,26,Nigeria,Real Sociedad,2022,18000000.0,Nigeria
Alexander Sørloth,Centre-Forward,27,Norway,Real Sociedad,2022,12000000.0,Norway
Jon Karrikaburu,Centre-Forward,20,Spain,Real Sociedad,2022,5000000.0,Spain
Carlos Fernández,Centre-Forward,27,Spain,Real Sociedad,2022,3000000.0,Spain
